,Symbol,Trade_Date,CBI_SS,CBI_MACD,CBI,Trade_Price,Price_Delta,Avg_Volume,RSI_val,"RSI_slope, intercept",SS_val,"SS_slope, intercept",MSCD_Div_val,"MACD_Div_slope, intercept"
121,DAL,2020-11-05,0.382599078242983,0.38139640909229716,0.38199774366764006,31.979999542236328,18.824266866586388,15953316.666666666,53.350189695037386,[ 0.76048268 43.1581534 ],37.65198156485966,[ 3.22679092 28.38161347],-0.10096515518760066,[ 0.02678547 -0.26472498]
152,FAST,2020-03-16,0.07720956428507346,0.7007989021615143,0.38900423322329386,31.719999313354492,8.795709547837502,9585816.666666666,40.31801240985795,[ 1.6611408  33.60619285],28.45580871429853,[ 3.51908475 18.70044773],-0.32070232473439075,[ 0.05144714 -0.4576239 ]
148,FAST,2020-01-13,0.16757070766780088,0.6187442585531695,0.3931574831104852,36.59000015258789,1.9677540795314856,3749083.3333333335,52.00282943198869,[ 0.2136638  44.90155947],33.35141415335602,[ 1.05728709 22.40778454],-0.08421150755187738,[ 0.00952377 -0.13610067]
173,FTV,2020-09-29,0.5461215472972434,0.2411685929769075,0.39364507013707545,63.7740592956543,9.480250223905546,2745850.0,57.861939843583116,[ 2.47452024 41.24311911],40.92243094594487,[ 3.28751782 18.91923995],-0.1165214909557234,[ 0.11452553 -0.48315367]
48,AAL,2020-10-02,0.6969694864566932,0.09421239303619797,0.3955909397464456,13.0,1.5384600712702825,52958300.0,52.88620983164668,[ 1.4540447  41.34481824],43.939389729133865,[ 4.62847594 33.4521124 ],-0.010633204094447818,[ 0.02359327 -0.11286418]
26,ALK,2020-10-05,0.2925362274235942,0.49974203304637516,0.3961391302349847,37.56999969482422,6.281609341286965,2353216.6666666665,46.82253743623243,[ 0.52975878 42.39668038],24.149275451528116,[ 0.25612777 22.24660515],-0.2895123927818739,[ 0.0942267  -0.57932368]
114,DAL,2020-09-29,0.14279944627022392,0.6504691465260192,0.39663429639812153,30.610000610351562,7.1871960766817695,22671833.333333332,49.68831435061338,[ 1.05864309 43.29634897],27.14401107459552,[ 1.65495157 13.12153272],-0.36637788074133226,[ 0.06494834 -0.56325174]
76,CARR,2020-12-11,0.08114518879231838,0.7152227505492953,0.3981839696708068,37.15999984741211,4.386439921443516,4504166.666666667,49.55632257278135,[ 0.8317307  48.80639693],28.377096224153632,[ 5.41191263 11.73063717],-0.29481935638954926,[ 0.05657074 -0.41220635]
15,MMM,2020-11-09,0.41750387737133254,0.3844896073645539,0.40099674236794325,163.42999267578125,8.352205694797316,2208733.3333333335,48.58998697277309,[ 0.97649182 43.71953976],38.35007754742665,[ 1.77803577 35.70186133],-0.29092151784230824,[ 0.16629583 -0.75664338]
12,MMM,2020-11-04,0.23342362991875837,0.5728236221328876,0.40312362602582297,160.16000366210938,8.553943952914214,2648066.6666666665,42.752388464798145,[ 2.56310432 35.5542601 ],34.66847259837517,[8.22794    8.49020686],-0.7649402763809032,[ 0.31029533 -1.33538536]
53,AME,2020-07-01,0.2607456920503541,0.5471474361877675,0.4039465641190608,87.58999633789062,6.427680235416349,2027500.0,48.39156601413301,[ 0.72643009 46.05538415],35.21491384100708,[ 2.05963038 18.68144024],-0.5401042327865139,[ 0.19473543 -0.98712741]
124,ETN,2020-03-05,0.1237524567111727,0.6860089939837267,0.40488072534744973,93.66000366210938,-0.9502530260982955,5169583.333333333,42.58843010812365,[ 2.38647182 32.71668485],32.475049134223454,[9.31185881 7.61367888],-1.0314669480840086,[ 0.19221518 -1.50357642]
103,DE,2020-03-25,0.551047575759298,0.2791156156917933,0.4150815957255456,128.49000549316406,14.226786518636587,3129066.6666666665,42.83356230268625,[ 0.95768093 31.45906022],18.97904848481404,[ 0.5956641  13.91694709],-1.1975860652463837,[ 0.82110025 -4.29064516]
